#imię,nazwisko,przew.,sekr.,rec_hab.,człon.,rec_prof.,razem,kiedykolwiek w CK,sc. field 22
Adriana,Zaleska,0,1,5,2,3,11,0,Chemistry
Marek,Żukowski,6,0,5,0,0,11,0,Physics & Astronomy
Juliusz,Pernak,1,0,6,2,2,11,0,Chemistry
Jerzy,Kowalski-Glikman,0,0,5,4,1,10,0,Clinical Medicine
Jacek,Radwan,0,0,7,1,2,10,0,Biology
Przemysław,Wojtaszek,0,0,4,2,4,10,0,Biology
Konrad,Szaciłowski,0,0,5,1,4,10,0,Chemistry
Konrad,Banaszek,1,0,3,4,2,10,0,Physics & Astronomy
Kazimierz,Darowicki,0,0,6,1,3,10,0,Enabling & Strategic Technologies
Jan,Misiewicz,4,0,1,2,3,10,0,Physics & Astronomy
Katarzyna,Chojnacka,0,0,5,2,3,10,0,Chemistry
Tadeusz,Robak,0,0,4,4,2,10,0,Clinical Medicine
Piotr,Chmielewski,0,0,4,3,2,9,0,Chemistry
Władysław,Wieczorek,0,0,5,0,4,9,0,Enabling & Strategic Technologies
Robert,Alicki,1,1,2,4,1,9,0,Physics & Astronomy
Ryszard,Amarowicz,0,0,4,0,5,9,0,"Agriculture, Fisheries & Forestry"
Arkadiusz,Wójs,4,0,2,1,2,9,0,Physics & Astronomy
Zbigniew,Kisiel,3,1,1,2,2,9,0,Physics & Astronomy
Andrzej,Skowron,0,0,7,1,1,9,0,Information & Communication Technologies
Werner,Ulrich,0,0,6,2,1,9,0,Biology
Krzysztof,Woźniak,0,0,7,1,1,9,0,Physics & Astronomy
Andrzej,Oleś,2,0,5,0,2,9,0,Physics & Astronomy
Bogdan,Marciniec,1,0,3,0,4,8,1,Chemistry
Krzysztof,Pachucki,5,1,1,1,0,8,1,Physics & Astronomy
Andrzej,Sobolewski,2,0,3,1,2,8,0,Physics & Astronomy
Janusz,Rybakowski,2,0,2,1,3,8,0,Clinical Medicine
Michał,Horodecki,0,0,7,1,0,8,0,Physics & Astronomy
Ewa,Gregoraszczuk,0,0,2,3,3,8,0,Clinical Medicine
Paweł,Pohl,0,1,2,2,3,8,0,Chemistry
Jan,Kalinowski,1,1,1,3,2,8,0,Physics & Astronomy
Krzysztof,Redlich,5,0,1,1,1,8,0,Physics & Astronomy
Michał,Tendera,7,0,0,0,0,7,1,Clinical Medicine
Paweł,Liberski,0,0,3,1,3,7,0,Clinical Medicine
Krzysztof,Woliński,0,0,5,0,2,7,0,Physics & Astronomy
Maciej,Wojtkowski,0,0,3,2,2,7,0,Physics & Astronomy
Krzysztof,Selmaj,0,0,3,3,1,7,0,Clinical Medicine
Andrzej,Katrusiak,0,0,6,0,1,7,0,Chemistry
Włodzimierz,Bednarek,0,0,5,0,2,7,0,Physics & Astronomy
Jerzy,Nowak,3,0,3,1,0,7,0,Clinical Medicine
Adam,Kisiel,0,0,2,5,0,7,0,Physics & Astronomy
Jerzy,Lukierski,2,0,3,0,2,7,0,Physics & Astronomy
Andrzej,Bartoszewicz,0,0,4,1,2,7,0,Engineering
Krzysztof,Golec-Biernat,0,1,2,4,0,7,0,Physics & Astronomy
Andrzej,Marciniak,0,0,2,3,2,7,0,Engineering
Tomasz,Wesołowski,0,0,2,3,2,7,0,Biology
Ewa,Andrzejewska,0,0,3,1,3,7,0,Chemistry
Artur,Terzyk,0,0,5,0,2,7,0,Physics & Astronomy
Halina,Kaczmarek,0,0,3,0,4,7,0,Clinical Medicine
Stanisław,Kucharski,0,1,4,1,1,7,0,Physics & Astronomy
Marek,Szydłowski,1,0,3,2,0,6,0,Physics & Astronomy
Andrzej,Bajguz,0,1,0,5,0,6,0,Biology
Krzysztof,Parliński,2,0,2,2,0,6,0,Physics & Astronomy
Hanna,Szajewska,0,0,4,0,2,6,0,Clinical Medicine
Wit,Grzesik,0,0,3,1,2,6,0,Engineering
Tadeusz,Sarna,1,0,0,0,5,6,0,Biomedical Research
Krystyna,Pyrzyńska,0,0,4,0,2,6,0,Chemistry
Tomasz,Kapitaniak,0,0,2,2,2,6,0,Physics & Astronomy
Robert,Jankowski,0,0,2,1,3,6,0,Enabling & Strategic Technologies
