Liczba członków CK w KH	Imię habilitant(a/ka)	Nazwisko habilitant(a/ki)	nr postępowania	dziedzina	url	Członkowie CK			
4	MARIUSZ	WIDERYŃSKI	7-L-6456-2014	dz. sztuk filmowych	https://www.ck.gov.pl/dl/41435/attachment/a27f9f/2.pdf	Andrzej Banachowicz	Krzysztof Hejke	Witold Jacyków	Zbigniew Wichłacz
4	AGNIESZKA	SZPITTER	2-L-6077-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/73515/attachment/049cbd/Szpitter%20Agnieszka.pdf	Jan Jasiczak	Maria Romanowska	Mariusz Bratnicki	Ryszard Borowiecki
4	MAREK	PANFIL	2-L-6809-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/37941/attachment/172e59/zal2.compressed.pdf	Bogdan Nogalski	Krzysztof Jajuga	Ryszard Borowiecki	Witold Jurek
4	ANDRZEJ	SZABLEWSKI	2-L-6303-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/46651/attachment/73815d/2.pdf	Bogdan Nogalski	Krzysztof Jajuga	Ryszard Borowiecki	Witold Jurek
4	DOBROMIŁ	SERWA	2-L-6649-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/28096/attachment/f9cb18/zal2.compressed.pdf	Czesław Domański	Jacek Osiewalski	Krzysztof Jajuga	Witold Jurek
4	MAŁGORZATA	PORADA-ROCHOŃ	2-L-7235-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/39460/attachment/35289f/2.pdf	Bogdan Nogalski	Małgorzata Zaleska	Stanisław Owsiak	Wiesława Przybylska-Kapuścińska
4	KAROL HIERONIM	WAJSZCZUK	2-L-7221-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/46703/attachment/ca645c/2.pdf	Czesław Domański	Krzysztof Jajuga	Stanisław Owsiak	Witold Jurek
4	OLGA	KIUILA 	2-L-6609-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/43653/attachment/25c7ac/2.pdf	Czesław Domański	Jacek Osiewalski	Krzysztof Jajuga	Witold Jurek
4	IWONA	PRZYCHOCKA	2-L-6908-2013	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/34177/attachment/3daa22/zal2.compressed.pdf	Bogdan Nogalski	Krzysztof Jajuga	Maria Romanowska	Małgorzata Zaleska
4	JAROSŁAW	PRZYBYTNIOWSKI	2-L-6397-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/46375/attachment/bf792f/2.pdf	Maria Romanowska	Małgorzata Zaleska	Wiesława Przybylska-Kapuścińska	Witold Jurek
4	PAWEŁ	BARANOWSKI	2-L-6608-2014	dz. nauk ekonomicznych	https://www.ck.gov.pl/dl/35205/attachment/05e34c/zal2.compressed.pdf	Andrzej Wojtyna	Małgorzata Zaleska	Stanisław Owsiak	Witold Jurek
